                  道琼斯工业 (A11)
      时间	    开盘	    最高	    最低	    收盘	         成交量	   MA.MA1   	   MA.MA2   	   MA.MA3   	   MA.MA4   	  AMO.AMOW  	  AMO.AMO1  	  AMO.AMO2  	 MACD.DIF   	 MACD.DEA   	 MACD.MACD  	
 2012/08/15-00:30	13160.60	13160.60	13160.60	13160.60	              0	           	           	           	           	       0.00	           	           	       0.00	       0.00	       0.00	
 2012/08/15-01:30	13160.60	13160.60	13160.60	13160.60	              0	           	           	           	           	       0.00	           	           	       0.00	       0.00	       0.00	
 2012/08/15-02:30	13160.60	13160.60	13160.60	13160.60	              0	           	           	           	           	       0.00	           	           	       0.00	       0.00	       0.00	
 2012/08/15-03:30	13160.60	13160.60	13160.60	13160.60	              0	           	           	           	           	       0.00	           	           	       0.00	       0.00	       0.00	
 2012/08/15-04:30	13160.60	13160.60	13160.60	13160.60	              0	   13160.60	           	           	           	       0.00	       0.00	           	       0.00	       0.00	       0.00	
 2012/08/15-05:00	13160.60	13160.60	13160.40	13160.40	              0	   13160.56	           	           	           	       0.00	       0.00	           	      -0.02	      -0.00	      -0.03	
 2012/08/16-22:30	13163.20	13187.80	13146.20	13165.70	              0	   13161.58	           	           	           	       0.00	       0.00	           	       0.39	       0.08	       0.63	
 2012/08/16-23:30	13165.80	13207.10	13165.70	13202.30	              0	   13169.92	           	           	           	       0.00	       0.00	           	       3.63	       0.79	       5.69	
 2012/08/16-00:30	13202.10	13236.50	13200.30	13233.00	              0	   13184.40	           	           	           	       0.00	       0.00	           	       8.57	       2.34	      12.46	
 2012/08/16-01:30	13232.80	13245.70	13226.80	13241.10	              0	   13200.50	   13180.55	           	           	       0.00	       0.00	       0.00	      13.00	       4.47	      17.04	
 2012/08/16-02:30	13241.00	13252.90	13231.30	13252.70	              0	   13218.96	   13189.76	           	           	       0.00	       0.00	       0.00	      17.24	       7.03	      20.42	
 2012/08/16-03:30	13252.70	13268.90	13252.50	13264.00	              0	   13238.62	   13200.10	           	           	       0.00	       0.00	       0.00	      21.27	       9.87	      22.78	
 2012/08/16-04:30	13264.00	13264.40	13237.40	13250.10	              0	   13248.18	   13209.05	           	           	       0.00	       0.00	       0.00	      23.07	      12.51	      21.11	
 2012/08/16-05:00	13250.10	13250.10	13250.10	13250.10	              0	   13251.60	   13218.00	           	           	       0.00	       0.00	       0.00	      24.22	      14.86	      18.73	
 2012/08/17-22:30	13251.00	13274.70	13245.50	13260.70	              0	   13255.52	   13228.01	           	           	       0.00	       0.00	       0.00	      25.69	      17.02	      17.34	
 2012/08/17-23:30	13260.10	13263.80	13249.20	13258.90	              0	   13256.76	   13237.86	           	           	       0.00	       0.00	       0.00	      26.41	      18.90	      15.02	
 2012/08/17-00:30	13258.70	13272.00	13254.90	13267.80	              0	   13257.52	   13248.07	           	           	       0.00	       0.00	       0.00	      27.38	      20.60	      13.57	
 2012/08/17-01:30	13267.90	13268.30	13253.40	13254.60	              0	   13258.42	   13253.30	           	           	       0.00	       0.00	       0.00	      26.78	      21.83	       9.89	
 2012/08/17-02:30	13255.00	13266.80	13253.90	13265.00	              0	   13261.40	   13256.50	           	           	       0.00	       0.00	       0.00	      26.83	      22.83	       7.99	
 2012/08/17-03:30	13265.10	13269.60	13260.30	13265.50	              0	   13262.36	   13258.94	           	           	       0.00	       0.00	       0.00	      26.60	      23.58	       6.03	
 2012/08/17-04:30	13265.50	13281.00	13256.60	13275.20	              0	   13265.62	   13261.19	   13222.39	           	       0.00	       0.00	       0.00	      26.89	      24.25	       5.29	
 2012/08/17-05:00	13275.20	13275.20	13275.20	13275.20	              0	   13267.10	   13262.31	   13227.84	           	       0.00	       0.00	       0.00	      26.82	      24.76	       4.11	
 2012/08/20-22:30	13266.30	13267.60	13230.10	13239.80	              0	   13264.14	   13261.28	   13231.62	           	       0.00	       0.00	       0.00	      23.63	      24.53	      -1.81	
 2012/08/20-23:30	13239.50	13261.20	13230.70	13246.00	              0	   13260.34	   13260.87	   13235.68	           	       0.00	       0.00	       0.00	      21.35	      23.90	      -5.09	
 2012/08/20-00:30	13246.10	13269.70	13243.10	13266.00	              0	   13260.44	   13261.40	   13240.70	           	       0.00	       0.00	       0.00	      20.92	      23.30	      -4.76	
 2012/08/20-01:30	13265.70	13267.00	13257.70	13259.10	              0	   13257.22	   13261.42	   13245.39	           	       0.00	       0.00	       0.00	      19.80	      22.60	      -5.61	
 2012/08/20-02:30	13259.10	13271.90	13248.80	13269.40	              0	   13256.06	   13261.58	   13250.58	           	       0.00	       0.00	       0.00	      19.51	      21.98	      -4.94	
 2012/08/20-03:30	13269.50	13276.00	13258.30	13266.00	              0	   13261.30	   13262.72	   13255.36	           	       0.00	       0.00	       0.00	      18.79	      21.35	      -5.10	
 2012/08/20-04:30	13266.30	13273.10	13262.60	13271.60	              0	   13266.42	   13263.38	   13258.66	           	       0.00	       0.00	       0.00	      18.47	      20.77	      -4.61	
 2012/08/20-05:00	13271.60	13271.60	13271.60	13271.60	              0	   13267.54	   13263.99	   13260.50	   13234.49	       0.00	       0.00	       0.00	      18.00	      20.22	      -4.44	
 2012/08/21-22:30	13274.70	13317.40	13273.60	13315.50	              0	   13278.82	   13268.02	   13264.04	   13239.66	       0.00	       0.00	       0.00	      20.93	      20.36	       1.14	
 2012/08/21-23:30	13315.60	13330.70	13294.00	13298.30	              0	   13284.60	   13270.33	   13266.21	   13244.25	       0.00	       0.00	       0.00	      21.61	      20.61	       2.01	
 2012/08/21-00:30	13297.50	13299.60	13264.10	13270.00	              0	   13285.40	   13273.35	   13266.50	   13247.89	       0.00	       0.00	       0.00	      19.64	      20.42	      -1.54	
 2012/08/21-01:30	13270.10	13275.00	13252.00	13252.20	              0	   13281.52	   13273.97	   13266.60	   13250.95	       0.00	       0.00	       0.00	      16.46	      19.62	      -6.33	
 2012/08/21-02:30	13252.20	13254.10	13228.60	13229.60	              0	   13273.13	   13270.33	   13265.62	   13253.25	       0.00	       0.00	       0.00	      11.97	      18.09	     -12.24	
 2012/08/21-03:30	13229.70	13235.10	13186.70	13195.40	              0	   13249.10	   13263.96	   13262.51	   13254.41	       0.00	       0.00	       0.00	       5.59	      15.59	     -20.00	
 2012/08/21-04:30	13195.40	13212.70	13191.20	13203.60	              0	   13230.16	   13257.38	   13259.88	   13255.68	       0.00	       0.00	       0.00	       1.19	      12.71	     -23.05	
 2012/08/21-05:00	13203.60	13203.60	13203.60	13203.60	              0	   13216.88	   13251.14	   13256.82	   13255.72	       0.00	       0.00	       0.00	      -2.28	       9.71	     -23.99	
 2012/08/22-22:30	13198.30	13205.00	13172.40	13182.20	              0	   13202.88	   13242.20	   13253.37	   13254.03	       0.00	       0.00	       0.00	      -6.68	       6.44	     -26.23	
 2012/08/22-23:30	13189.00	13189.00	13138.10	13146.00	              0	   13186.16	   13229.64	   13247.71	   13250.86	       0.00	       0.00	       0.00	     -12.93	       2.56	     -30.99	
 2012/08/22-00:30	13146.30	13153.90	13134.40	13142.50	              0	   13175.59	   13212.34	   13241.85	   13247.18	       0.00	       0.00	       0.00	     -17.97	      -1.54	     -32.85	
 2012/08/22-01:30	13142.50	13142.60	13120.40	13137.20	              0	   13162.30	   13196.23	   13235.28	   13242.96	       0.00	       0.00	       0.00	     -22.13	      -5.66	     -32.94	
 2012/08/22-02:30	13137.10	13177.10	13128.40	13149.60	              0	   13151.49	   13184.19	   13229.29	   13239.61	       0.00	       0.00	       0.00	     -24.15	      -9.36	     -29.58	
 2012/08/22-03:30	13152.50	13193.80	13149.80	13178.70	              0	   13150.81	   13176.84	   13226.39	   13237.23	       0.00	       0.00	       0.00	     -23.13	     -12.11	     -22.04	
 2012/08/22-04:30	13177.00	13184.00	13166.10	13172.70	              0	   13156.14	   13171.15	   13222.90	   13234.29	       0.00	       0.00	       0.00	     -22.55	     -14.20	     -16.71	
 2012/08/22-05:00	13172.70	13172.70	13172.70	13172.70	              0	   13162.17	   13168.88	   13218.45	   13231.42	       0.00	       0.00	       0.00	     -21.84	     -15.73	     -12.23	
 2012/08/23-22:30	13171.20	13171.20	13074.80	13091.90	              0	   13153.11	   13157.71	   13210.49	   13225.56	       0.00	       0.00	       0.00	     -27.48	     -18.08	     -18.80	
 2012/08/23-23:30	13092.00	13113.90	13084.40	13107.10	              0	   13144.63	   13148.06	   13202.76	   13220.64	       0.00	       0.00	       0.00	     -30.38	     -20.54	     -19.67	
 2012/08/23-00:30	13107.10	13107.10	13071.60	13079.70	              0	   13124.81	   13137.81	   13193.89	   13214.46	       0.00	       0.00	       0.00	     -34.48	     -23.33	     -22.31	
 2012/08/23-01:30	13079.70	13089.10	13046.50	13052.60	              0	   13100.80	   13128.47	   13183.46	   13207.37	       0.00	       0.00	       0.00	     -39.47	     -26.56	     -25.82	
 2012/08/23-02:30	13052.50	13066.00	13046.40	13056.10	              0	   13077.47	   13119.83	   13173.20	   13200.06	       0.00	       0.00	       0.00	     -42.64	     -29.77	     -25.74	
 2012/08/23-03:30	13056.00	13075.30	13050.40	13063.80	              0	   13071.86	   13112.49	   13161.21	   13193.02	       0.00	       0.00	       0.00	     -44.03	     -32.62	     -22.82	
 2012/08/23-04:30	13063.00	13070.50	13049.90	13057.50	              0	   13061.94	   13103.28	   13149.75	   13186.94	       0.00	       0.00	       0.00	     -45.12	     -35.12	     -19.99	
 2012/08/23-05:00	13057.50	13057.50	13057.50	13057.50	              0	   13057.50	   13091.16	   13139.63	   13180.66	       0.00	       0.00	       0.00	     -45.46	     -37.19	     -16.54	
 2012/08/24-22:30	13049.70	13065.00	13028.20	13057.60	              0	   13058.50	   13079.65	   13130.36	   13173.71	       0.00	       0.00	       0.00	     -45.20	     -38.79	     -12.81	
 2012/08/24-23:30	13057.60	13143.60	13057.60	13131.30	              0	   13073.55	   13075.51	   13125.68	   13169.45	       0.00	       0.00	       0.00	     -38.60	     -38.75	       0.31	
 2012/08/24-00:30	13131.80	13139.90	13116.20	13133.00	              0	   13087.39	   13079.63	   13122.71	   13164.90	       0.00	       0.00	       0.00	     -32.86	     -37.57	       9.44	
 2012/08/24-01:30	13133.20	13140.70	13128.00	13132.50	              0	   13102.39	   13082.16	   13119.32	   13160.45	       0.00	       0.00	       0.00	     -28.02	     -35.66	      15.29	
 2012/08/24-02:30	13132.60	13161.40	13132.50	13147.70	              0	   13120.42	   13088.96	   13116.66	   13156.32	       0.00	       0.00	       0.00	     -22.70	     -33.07	      20.74	
 2012/08/24-03:30	13147.60	13157.50	13131.30	13156.30	              0	   13140.16	   13099.33	   13115.43	   13152.48	       0.00	       0.00	       0.00	     -17.59	     -29.97	      24.77	
 2012/08/24-04:30	13156.10	13175.40	13142.20	13158.00	              0	   13145.50	   13109.53	   13116.00	   13147.23	       0.00	       0.00	       0.00	     -13.25	     -26.63	      26.77	
 2012/08/24-05:00	13158.00	13158.00	13158.00	13158.00	              0	   13150.50	   13118.94	   13116.74	   13142.55	       0.00	       0.00	       0.00	      -9.69	     -23.24	      27.10	
 2012/08/27-22:30	13157.80	13171.00	13121.60	13131.10	              0	   13150.21	   13126.30	   13116.45	   13137.92	       0.00	       0.00	       0.00	      -8.95	     -20.38	      22.87	
 2012/08/27-23:30	13131.80	13169.70	13123.40	13168.20	              0	   13154.33	   13137.38	   13117.34	   13135.13	       0.00	       0.00	       0.00	      -5.30	     -17.37	      24.14	
 2012/08/27-00:30	13171.20	13176.10	13157.10	13160.10	              0	   13155.08	   13147.62	   13116.45	   13132.81	       0.00	       0.00	       0.00	      -3.03	     -14.50	      22.94	
 2012/08/27-01:30	13159.90	13167.00	13155.60	13165.30	              0	   13156.54	   13151.02	   13116.10	   13131.80	       0.00	       0.00	       0.00	      -0.80	     -11.76	      21.92	
 2012/08/27-02:30	13165.20	13165.60	13140.10	13151.20	              0	   13155.17	   13152.84	   13115.07	   13130.06	       0.00	       0.00	       0.00	      -0.17	      -9.44	      18.55	
 2012/08/27-03:30	13151.30	13159.50	13134.40	13139.90	              0	   13156.95	   13153.58	   13117.36	   13127.93	       0.00	       0.00	       0.00	      -0.57	      -7.67	      14.19	
 2012/08/27-04:30	13139.70	13141.90	13115.60	13124.70	              0	   13148.24	   13151.28	   13118.20	   13126.02	       0.00	       0.00	       0.00	      -2.09	      -6.55	       8.91	
 2012/08/27-05:00	13124.70	13124.70	13124.70	13124.70	              0	   13141.16	   13148.12	   13120.34	   13125.31	       0.00	       0.00	       0.00	      -3.26	      -5.89	       5.26	
 2012/08/28-22:30	13122.80	13138.50	13081.50	13135.30	              0	   13135.16	   13145.85	   13124.28	   13125.07	       0.00	       0.00	       0.00	      -3.30	      -5.37	       4.15	
 2012/08/28-23:30	13136.40	13147.20	13109.40	13119.20	              0	   13128.76	   13141.97	   13127.28	   13124.47	       0.00	       0.00	       0.00	      -4.57	      -5.21	       1.29	
 2012/08/28-00:30	13119.10	13141.80	13113.00	13134.20	              0	   13127.61	   13142.28	   13130.63	   13123.95	       0.00	       0.00	       0.00	      -4.32	      -5.04	       1.43	
 2012/08/28-01:30	13134.10	13135.00	13117.40	13117.40	              0	   13126.16	   13137.20	   13133.49	   13121.91	       0.00	       0.00	       0.00	      -5.41	      -5.11	      -0.61	
 2012/08/28-02:30	13117.30	13132.10	13106.80	13131.30	              0	   13127.49	   13134.33	   13137.00	   13120.53	       0.00	       0.00	       0.00	      -5.10	      -5.11	       0.02	
 2012/08/28-03:30	13131.10	13143.60	13114.50	13116.70	              0	   13123.76	   13129.46	   13139.82	   13118.67	       0.00	       0.00	       0.00	      -5.96	      -5.28	      -1.36	
 2012/08/28-04:30	13116.70	13122.70	13100.80	13103.00	              0	   13120.53	   13124.64	   13138.47	   13119.04	       0.00	       0.00	       0.00	      -7.66	      -5.76	      -3.81	
 2012/08/28-05:00	13103.00	13103.00	13103.00	13103.00	              0	   13114.29	   13120.95	   13137.04	   13118.90	       0.00	       0.00	       0.00	      -8.91	      -6.39	      -5.04	
 2012/08/29-22:30	13103.20	13122.60	13090.20	13110.00	              0	   13112.80	   13119.48	   13135.97	   13119.91	       0.00	       0.00	       0.00	      -9.22	      -6.95	      -4.54	
 2012/08/29-23:30	13108.30	13110.40	13081.40	13094.60	              0	   13105.45	   13116.47	   13133.44	   13121.31	       0.00	       0.00	       0.00	     -10.59	      -7.68	      -5.82	
 2012/08/29-00:30	13094.40	13112.70	13094.40	13111.00	              0	   13104.31	   13114.04	   13131.28	   13123.14	       0.00	       0.00	       0.00	     -10.24	      -8.19	      -4.09	
 2012/08/29-01:30	13111.00	13136.50	13107.80	13133.00	              0	   13110.31	   13115.42	   13130.09	   13125.44	       0.00	       0.00	       0.00	      -8.08	      -8.17	       0.17	
 2012/08/29-02:30	13132.50	13144.80	13127.30	13138.30	              0	   13117.39	   13115.84	   13129.15	   13128.14	       0.00	       0.00	       0.00	      -5.89	      -7.71	       3.65	
 2012/08/29-03:30	13138.60	13138.60	13115.20	13127.80	              0	   13120.94	   13116.87	   13129.00	   13130.48	       0.00	       0.00	       0.00	      -4.93	      -7.16	       4.45	
 2012/08/29-04:30	13128.00	13128.50	13105.70	13107.50	              0	   13123.53	   13114.49	   13126.10	   13132.14	       0.00	       0.00	       0.00	      -5.75	      -6.88	       2.25	
 2012/08/29-05:00	13107.50	13107.50	13107.50	13107.50	              0	   13122.83	   13113.57	   13123.60	   13131.35	       0.00	       0.00	       0.00	      -6.32	      -6.77	       0.88	
 2012/08/30-22:30	13086.30	13086.30	13003.20	13005.30	              0	   13097.28	   13103.79	   13115.98	   13127.09	       0.00	       0.00	       0.00	     -14.85	      -8.38	     -12.94	
 2012/08/30-23:30	13007.40	13020.50	12979.10	13017.30	              0	   13073.08	   13095.23	   13109.61	   13123.25	       0.00	       0.00	       0.00	     -20.41	     -10.79	     -19.24	
 2012/08/30-00:30	13018.20	13019.80	12998.40	12998.80	              0	   13047.28	   13084.11	   13102.88	   13118.29	       0.00	       0.00	       0.00	     -26.01	     -13.83	     -24.35	
 2012/08/30-01:30	12999.20	13018.00	12996.80	13003.20	              0	   13026.42	   13074.97	   13097.10	   13113.19	       0.00	       0.00	       0.00	     -29.74	     -17.01	     -25.46	
 2012/08/30-02:30	13004.50	13023.70	13004.10	13016.40	              0	   13008.20	   13065.51	   13091.94	   13108.47	       0.00	       0.00	       0.00	     -31.28	     -19.87	     -22.83	
 2012/08/30-03:30	13016.80	13030.90	13012.00	13027.80	              0	   13012.70	   13054.99	   13086.82	   13104.13	       0.00	       0.00	       0.00	     -31.22	     -22.14	     -18.16	
 2012/08/30-04:30	13028.10	13041.00	12999.30	13000.70	              0	   13009.38	   13041.22	   13081.18	   13099.78	       0.00	       0.00	       0.00	     -32.98	     -24.31	     -17.34	
 2012/08/30-05:00	13000.70	13000.70	13000.70	13000.70	              0	   13009.78	   13028.53	   13074.83	   13094.20	       0.00	       0.00	       0.00	     -33.98	     -26.24	     -15.48	
 2012/08/31-22:30	13002.80	13122.20	13002.80	13099.70	              0	   13029.05	   13027.74	   13073.98	   13092.18	       0.00	       0.00	       0.00	     -26.48	     -26.29	      -0.38	
 2012/08/31-23:30	13099.40	13151.80	13084.80	13125.10	              0	   13050.80	   13029.50	   13073.68	   13090.84	       0.00	       0.00	       0.00	     -18.27	     -24.69	      12.82	
 2012/08/31-00:30	13125.10	13130.70	13066.30	13073.10	              0	   13059.88	   13036.29	   13071.61	   13088.24	       0.00	       0.00	       0.00	     -15.79	     -22.91	      14.24	
 2012/08/31-01:30	13073.30	13085.10	13049.60	13055.30	              0	   13070.78	   13040.08	   13069.34	   13085.42	       0.00	       0.00	       0.00	     -15.08	     -21.34	      12.52	
 2012/08/31-02:30	13055.50	13118.50	13055.40	13115.80	              0	   13093.80	   13051.79	   13069.95	   13085.13	       0.00	       0.00	       0.00	      -9.52	     -18.98	      18.91	
 2012/08/31-03:30	13116.10	13120.00	13071.70	13077.70	              0	   13089.40	   13059.22	   13068.41	   13083.56	       0.00	       0.00	       0.00	      -8.10	     -16.80	      17.40	
 2012/08/31-04:30	13077.70	13121.70	13067.10	13090.80	              0	   13082.55	   13066.67	   13068.23	   13082.08	       0.00	       0.00	       0.00	      -5.85	     -14.61	      17.52	
 2012/08/31-05:00	13090.80	13090.80	13090.80	13090.80	              0	   13086.08	   13072.97	   13067.27	   13081.13	       0.00	       0.00	       0.00	      -4.02	     -12.49	      16.94	
 2012/09/04-22:30	13092.30	13092.30	13004.70	13005.80	              0	   13076.17	   13073.47	   13061.21	   13076.85	       0.00	       0.00	       0.00	      -9.32	     -11.86	       5.07	
 2012/09/04-23:30	13005.70	13007.10	12977.20	13000.80	              0	   13053.17	   13073.49	   13054.66	   13072.96	       0.00	       0.00	       0.00	     -13.77	     -12.24	      -3.06	
 2012/09/04-00:30	13000.30	13007.40	12991.00	12998.30	              0	   13037.30	   13063.35	   13048.49	   13068.53	       0.00	       0.00	       0.00	     -17.30	     -13.25	      -8.09	
 2012/09/04-01:30	12998.20	13014.60	12995.50	13012.70	              0	   13021.67	   13052.11	   13043.98	   13065.06	       0.00	       0.00	       0.00	     -18.71	     -14.34	      -8.74	
 2012/09/04-02:30	13013.10	13046.30	13004.00	13045.10	              0	   13012.55	   13049.31	   13041.01	   13063.13	       0.00	       0.00	       0.00	     -17.03	     -14.88	      -4.29	
 2012/09/04-03:30	13045.10	13082.40	13043.90	13068.00	              0	   13025.00	   13050.59	   13044.00	   13061.96	       0.00	       0.00	       0.00	     -13.68	     -14.64	       1.92	
 2012/09/04-04:30	13068.00	13070.20	13034.30	13035.90	              0	   13032.00	   13042.59	   13044.88	   13059.49	       0.00	       0.00	       0.00	     -13.47	     -14.41	       1.88	
 2012/09/04-05:00	13035.90	13035.90	13035.90	13035.90	              0	   13039.53	   13038.41	   13046.65	   13057.54	       0.00	       0.00	       0.00	     -13.15	     -14.15	       2.01	
 2012/09/05-22:30	13032.30	13085.40	13018.90	13083.60	              0	   13053.70	   13037.69	   13050.48	   13056.63	       0.00	       0.00	       0.00	      -8.94	     -13.11	       8.34	
 2012/09/05-23:30	13082.80	13093.90	13040.80	13068.40	              0	   13058.35	   13035.45	   13052.95	   13054.47	       0.00	       0.00	       0.00	      -6.75	     -11.84	      10.17	
 2012/09/05-00:30	13070.30	13082.60	13063.20	13070.30	              0	   13058.83	   13041.91	   13054.98	   13052.20	       0.00	       0.00	       0.00	      -4.81	     -10.44	      11.24	
 2012/09/05-01:30	13070.50	13071.50	13059.10	13061.70	              0	   13063.97	   13047.99	   13057.88	   13050.00	       0.00	       0.00	       0.00	      -3.92	      -9.13	      10.42	
 2012/09/05-02:30	13060.10	13060.50	13022.90	13041.70	              0	   13065.15	   13052.34	   13059.83	   13047.81	       0.00	       0.00	       0.00	      -4.78	      -8.26	       6.97	
 2012/09/05-03:30	13041.80	13057.30	13037.10	13053.50	              0	   13059.13	   13056.41	   13057.64	   13046.01	       0.00	       0.00	       0.00	      -4.45	      -7.50	       6.10	
 2012/09/05-04:30	13053.00	13059.30	13039.70	13047.40	              0	   13054.92	   13056.64	   13053.93	   13047.41	       0.00	       0.00	       0.00	      -4.63	      -6.93	       4.59	
 2012/09/05-05:00	13047.40	13047.40	13047.40	13047.40	              0	   13050.33	   13054.58	   13052.71	   13048.41	       0.00	       0.00	       0.00	      -4.72	      -6.49	       3.53	
 2012/09/06-22:30	13066.50	13241.50	13066.50	13239.00	              0	   13085.80	   13074.89	   13061.46	   13056.42	       0.00	       0.00	       0.00	      10.55	      -3.08	      27.25	
 2012/09/06-23:30	13240.20	13290.10	13239.20	13267.80	              0	   13131.03	   13098.09	   13068.70	   13065.24	       0.00	       0.00	       0.00	      24.69	       2.47	      44.43	
 2012/09/06-00:30	13268.00	13290.60	13268.00	13277.10	              0	   13175.72	   13117.42	   13078.19	   13073.93	       0.00	       0.00	       0.00	      36.23	       9.23	      54.00	
 2012/09/06-01:30	13277.40	13285.80	13269.60	13272.00	              0	   13220.65	   13137.79	   13086.82	   13082.07	       0.00	       0.00	       0.00	      44.45	      16.27	      56.36	
 2012/09/06-02:30	13272.20	13280.80	13263.60	13268.90	              0	   13264.97	   13157.65	   13095.30	   13091.01	       0.00	       0.00	       0.00	      50.13	      23.04	      54.18	
 2012/09/06-03:30	13268.60	13280.50	13252.50	13259.90	              0	   13269.15	   13177.47	   13107.40	   13099.65	       0.00	       0.00	       0.00	      53.30	      29.09	      48.41	
 2012/09/06-04:30	13260.30	13293.90	13260.10	13292.00	              0	   13273.97	   13202.50	   13121.27	   13106.06	       0.00	       0.00	       0.00	      57.74	      34.82	      45.83	
 2012/09/06-05:00	13292.00	13292.00	13292.00	13292.00	              0	   13276.97	   13226.35	   13135.26	   13111.63	       0.00	       0.00	       0.00	      60.55	      39.97	      41.16	
 2012/09/07-22:30	13268.50	13319.70	13268.50	13294.50	              0	   13281.47	   13251.06	   13148.67	   13119.00	       0.00	       0.00	       0.00	      62.27	      44.43	      35.68	
 2012/09/07-23:30	13294.10	13302.00	13276.70	13286.60	              0	   13285.00	   13274.99	   13160.17	   13126.72	       0.00	       0.00	       0.00	      62.27	      48.00	      28.55	
 2012/09/07-00:30	13287.00	13293.30	13276.80	13277.20	              0	   13288.45	   13278.80	   13170.13	   13132.09	       0.00	       0.00	       0.00	      60.82	      50.56	      20.51	
 2012/09/07-01:30	13277.00	13289.10	13276.70	13285.70	              0	   13287.20	   13280.59	   13182.03	   13139.03	       0.00	       0.00	       0.00	      59.66	      52.38	      14.56	
 2012/09/07-02:30	13284.60	13286.10	13269.20	13283.60	              0	   13285.53	   13281.25	   13193.83	   13145.45	       0.00	       0.00	       0.00	      57.91	      53.49	       8.84	
 2012/09/07-03:30	13283.00	13289.80	13279.20	13281.20	              0	   13282.85	   13282.16	   13203.23	   13151.80	       0.00	       0.00	       0.00	      55.68	      53.93	       3.52	
 2012/09/07-04:30	13281.80	13306.60	13281.80	13306.60	              0	   13286.85	   13285.92	   13214.58	   13161.83	       0.00	       0.00	       0.00	      55.33	      54.21	       2.25	
 2012/09/07-05:00	13306.60	13306.60	13306.60	13306.60	              0	   13292.75	   13290.60	   13225.83	   13172.02	       0.00	       0.00	       0.00	      54.43	      54.25	       0.35	
 2012/09/10-22:30	13303.50	13310.80	13271.00	13309.30	              0	   13297.45	   13292.33	   13237.62	   13182.39	       0.00	       0.00	       0.00	      53.31	      54.06	      -1.50	
 2012/09/10-23:30	13308.30	13324.00	13298.20	13315.40	              0	   13303.80	   13294.66	   13250.65	   13192.47	       0.00	       0.00	       0.00	      52.32	      53.71	      -2.79	
 2012/09/10-00:30	13313.80	13316.40	13304.70	13308.00	              0	   13309.17	   13296.01	   13262.77	   13201.24	       0.00	       0.00	       0.00	      50.35	      53.04	      -5.38	
 2012/09/10-01:30	13308.30	13317.30	13301.90	13315.90	              0	   13311.05	   13298.95	   13275.56	   13209.50	       0.00	       0.00	       0.00	      48.87	      52.21	      -6.68	
 2012/09/10-02:30	13315.70	13316.90	13293.10	13302.10	              0	   13310.13	   13301.44	   13287.68	   13218.38	       0.00	       0.00	       0.00	      46.05	      50.97	      -9.85	
 2012/09/10-03:30	13302.40	13304.80	13276.60	13287.10	              0	   13305.70	   13301.58	   13289.98	   13226.75	       0.00	       0.00	       0.00	      42.12	      49.20	     -14.17	
 2012/09/10-04:30	13287.20	13287.30	13251.70	13254.20	              0	   13293.47	   13298.64	   13289.33	   13232.44	       0.00	       0.00	       0.00	      35.93	      46.55	     -21.23	
 2012/09/10-05:00	13254.20	13254.20	13254.20	13254.20	              0	   13282.70	   13295.94	   13288.24	   13238.63	       0.00	       0.00	       0.00	      30.68	      43.37	     -25.39	
 2012/09/11-22:30	13255.80	13331.50	13255.80	13321.10	              0	   13283.72	   13297.39	   13290.58	   13246.99	       0.00	       0.00	       0.00	      31.55	      41.01	     -18.92	
 2012/09/11-23:30	13320.40	13353.70	13313.40	13353.70	              0	   13294.08	   13302.10	   13294.61	   13256.72	       0.00	       0.00	       0.00	      34.47	      39.70	     -10.46	
 2012/09/11-00:30	13353.60	13354.00	13324.30	13337.80	              0	   13304.20	   13304.95	   13298.32	   13266.59	       0.00	       0.00	       0.00	      35.10	      38.78	      -7.36	
 2012/09/11-01:30	13337.70	13346.60	13330.90	13341.70	              0	   13321.70	   13307.59	   13300.69	   13276.20	       0.00	       0.00	       0.00	      35.50	      38.13	      -5.24	
 2012/09/11-02:30	13341.60	13353.90	13336.30	13347.20	              0	   13340.30	   13311.50	   13303.32	   13286.19	       0.00	       0.00	       0.00	      35.85	      37.67	      -3.63	
 2012/09/11-03:30	13347.30	13347.60	13313.40	13318.10	              0	   13339.70	   13311.71	   13304.44	   13295.22	       0.00	       0.00	       0.00	      33.40	      36.82	      -6.84	
 2012/09/11-04:30	13318.10	13330.30	13314.00	13323.30	              0	   13333.63	   13313.85	   13306.19	   13298.03	       0.00	       0.00	       0.00	      31.51	      35.76	      -8.49	
 2012/09/11-05:00	13323.30	13323.30	13323.30	13323.30	              0	   13330.72	   13317.46	   13308.39	   13299.88	       0.00	       0.00	       0.00	      29.67	      34.54	      -9.74	
 2012/09/12-22:30	13328.00	13373.50	13328.00	13349.90	              0	   13332.35	   13327.03	   13311.44	   13302.30	       0.00	       0.00	       0.00	      30.01	      33.63	      -7.24	
 2012/09/12-23:30	13344.10	13364.90	13318.90	13358.30	              0	   13334.60	   13337.45	   13315.00	   13305.18	       0.00	       0.00	       0.00	      30.61	      33.03	      -4.84	
 2012/09/12-00:30	13358.20	13366.30	13338.90	13345.70	              0	   13340.10	   13339.90	   13318.07	   13307.74	       0.00	       0.00	       0.00	      29.72	      32.37	      -5.29	
 2012/09/12-01:30	13345.30	13361.70	13337.50	13349.70	              0	   13345.38	   13339.50	   13320.13	   13310.73	       0.00	       0.00	       0.00	      29.01	      31.70	      -5.38	
